Title,Location,Model ,KM,Fuel Type,CC,Specs,Price
Suzuki Mehran 2016 VXR Euro II for Sale,Nankana,2016,"38,173",Petrol,800,Manual,11.8lacs
Toyota Passo 2014 X L Package for Sale,Karachi,2014,"92,500",Petrol,1000,Automatic,25.5lacs
Daihatsu Mira 2014 L SA for Sale,Karachi,2014,"99,000",Petrol,660,Automatic,22.85lacs
Toyota Vitz 2002 RS 1.3 for Sale,Quetta,2002,"200,000",Petrol,1300,Automatic,18.5lacs
Hyundai Tucson 2022 AWD A/T Ultimate for Sale,Lahore,2022,"11,000",Petrol,2000,Automatic,86lacs
KIA Sorento 2022 3.5 FWD for Sale,Lahore,2022,"48,000",Petrol,3500,Automatic,82.5lacs
Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,Lahore,2018,"75,000",Petrol,1800,Automatic,53lacs
FAW X-PV 2018 Dual AC for Sale,Bhera,2018,"137,000",Petrol,1000,Manual,12.5lacs
Daihatsu Mira 2021 L for Sale,Hyderabad,2021,"40,000",Petrol,660,Automatic,34.5lacs
Honda Concerto 1989 for Sale,Lahore,1989,"150,000",Petrol,1300,Manual,9.8lacs
Suzuki Bolan 2002 for Sale,Toba,2002,"70,000",Petrol,800,Manual,5.6lacs
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Hyderabad,2021,"53,000",Petrol,1800,Automatic,63lacs
Suzuki Wagon R 2021 FA for Sale,Islamabad,2021,"37,500",Petrol,660,Automatic,34lacs
Suzuki Swift 2021 DLX 1.3 Navigation for Sale,Hyderabad,2021,"40,000",Petrol,1300,Manual,30lacs
Toyota Prado 1993 for Sale,Karachi,1993,"110,000",Diesel,3000,Automatic,38lacs
Suzuki Cultus 2021 VXR for Sale,Islamabad,2021,"84,000",Petrol,1000,Manual,30lacs
Toyota Yaris Hatchback 2021 for Sale,Karachi,2021,"49,000",Petrol,1000,Automatic,45.65lacs
Daihatsu Mira 2021 X SA lll for Sale,Karachi,2021,"50,000",Petrol,660,Automatic,35.95lacs
Toyota Premio 2006 F L Package 1.5 for Sale,Islamabad,2006,"120,000",Petrol,1500,Automatic,35.5lacs
Toyota Passo 2012 Plus Hana C for Sale,Lahore,2012,"105,000",Petrol,1000,Automatic,27.5lacs
Honda Civic 2020 Oriel 1.8 i-VTEC CVT for Sale,Rawalpindi,2020,"55,000",Petrol,1800,Automatic,58.5lacs
Toyota Passo 2022 X L Package S for Sale,Islamabad,2022,"46,000",Petrol,1000,Automatic,44.5lacs
Toyota Passo 2022 X for Sale,Islamabad,2022,"7,000",Petrol,1000,Automatic,43.5lacs
Toyota Fortuner 2014 2.7 VVTi for Sale 8.3/10,Islamabad,2014,"143,042",Petrol,2700,Automatic,74.9lacs
Daihatsu Mira 2014 for Sale,Islamabad,2014,"105,000",Petrol,660,Automatic,23.5lacs
Suzuki Cultus 2019 Auto Gear Shift for Sale,Lahore,2019,"69,000",Petrol,1000,Automatic,30.8lacs
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,Hyderabad,2019,"70,000",Petrol,1300,Automatic,37.25lacs
Toyota Corolla 2016 Altis Automatic 1.6 for Sale,Toba,2016,"130,000",Petrol,1600,Automatic,41lacs
Daihatsu Hijet 2014 Deluxe for Sale,Karachi,2014,"955,000",Petrol,660,Automatic,18.1lacs
Daihatsu Taft 2024 for Sale,Sialkot,2024,"33,700",Petrol,660,Automatic,34.5lacs
Toyota Yaris 2021 for Sale,Sheikhupura,2021,"53,888",Petrol,1500,Automatic,40lacs
Toyota Tank 2021 for Sale,Peshawar,2021,"32,000",Petrol,1000,Automatic,40lacs
Mitsubishi EK Custom 2013 for Sale,Lahore,2013,"111,082",Petrol,660,Automatic,22lacs
Honda City 2005 i-DSI Vario for Sale,Islamabad,2005,"379,000",Petrol,1300,Automatic,19lacs
Suzuki Cultus 2014 EURO II for Sale,Karachi,2014,"125,485",Petrol,1000,Manual,17lacs
Suzuki Alto 2019 VXR for Sale,Rawalpindi,2019,"55,357",Petrol,660,Manual,23.3lacs
Suzuki Alto 2018 for Sale,Quetta,2018,"75,000",Petrol,800,Manual,13.2lacs
Honda Vezel 2015 Hybrid Z Style Edition for Sale,Karachi,2015,"78,000",Hybrid,1500,Automatic,58lacs
Nissan Bluebird Sylphy 2007 15S for Sale,Karachi,2007,"98,000",Petrol,1500,Automatic,23.5lacs
